ld : 0.0, str1.length = 14984, str2.length = 14984
ld : 0.0, str1.length = 2146, str2.length = 2146
ld : 0.0, str1.length = 1413, str2.length = 1413
ld : 0.0, str1.length = 1121, str2.length = 1121
ld : 0.0, str1.length = 362, str2.length = 362
ld : 0.0, str1.length = 14984, str2.length = 14984
ld : 0.0, str1.length = 2146, str2.length = 2146
ld : 0.0, str1.length = 1413, str2.length = 1413
ld : 0.0, str1.length = 1121, str2.length = 1121
ld : 0.0, str1.length = 362, str2.length = 362
ld : 2.0, str1.length = 14984, str2.length = 14982
ld : 0.0, str1.length = 2146, str2.length = 2146
ld : 0.0, str1.length = 1413, str2.length = 1413
ld : 0.0, str1.length = 1121, str2.length = 1121
ld : 0.0, str1.length = 362, str2.length = 362
ld : 42.0, str1.length = 14982, str2.length = 15011
ld : 0.0, str1.length = 2146, str2.length = 2146
ld : 14.0, str1.length = 1413, str2.length = 1424
ld : 0.0, str1.length = 1121, str2.length = 1121
ld : 0.0, str1.length = 362, str2.length = 362
ld : 109.0, str1.length = 15011, str2.length = 14902
ld : 2.0, str1.length = 2146, str2.length = 2144
ld : 7.0, str1.length = 1424, str2.length = 1417
ld : 0.0, str1.length = 1121, str2.length = 1121
ld : 2.0, str1.length = 362, str2.length = 360
ld : 555.0, str1.length = 14902, str2.length = 14347
ld : 49.0, str1.length = 2144, str2.length = 2095
ld : 31.0, str1.length = 1417, str2.length = 1386
ld : 30.0, str1.length = 1121, str2.length = 1091
ld : 7.0, str1.length = 360, str2.length = 353
ld : 0.0, str1.length = 14347, str2.length = 14347
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1386, str2.length = 1386
ld : 0.0, str1.length = 1091, str2.length = 1091
ld : 0.0, str1.length = 353, str2.length = 353
ld : 0.0, str1.length = 14347, str2.length = 14347
ld : 0.0, str1.length = 2095, str2.length = 2095
ld : 0.0, str1.length = 1386, str2.length = 1386
ld : 0.0, str1.length = 1091, str2.length = 1091
ld : 0.0, str1.length = 353, str2.length = 353
ld : 27.0, str1.length = 14347, str2.length = 14374
ld : 6.0, str1.length = 2095, str2.length = 2101
ld : 4.0, str1.length = 1386, str2.length = 1390
ld : 0.0, str1.length = 1091, str2.length = 1091
ld : 0.0, str1.length = 353, str2.length = 353
ld : 25.0, str1.length = 14374, str2.length = 14369
ld : 0.0, str1.length = 2101, str2.length = 2101
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 1091, str2.length = 1091
ld : 0.0, str1.length = 353, str2.length = 353
ld : 0.0, str1.length = 14369, str2.length = 14369
ld : 0.0, str1.length = 2101, str2.length = 2101
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 1091, str2.length = 1091
ld : 0.0, str1.length = 353, str2.length = 353
ld : 48.0, str1.length = 14369, str2.length = 14327
ld : 0.0, str1.length = 2101, str2.length = 2101
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 1091, str2.length = 1091
ld : 0.0, str1.length = 353, str2.length = 353
ld : 320.0, str1.length = 14327, str2.length = 14327
ld : 0.0, str1.length = 2101, str2.length = 2101
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 1091, str2.length = 1091
ld : 0.0, str1.length = 353, str2.length = 353
ld : 0.0, str1.length = 14327, str2.length = 14327
ld : 0.0, str1.length = 2101, str2.length = 2101
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 1091, str2.length = 1091
ld : 0.0, str1.length = 353, str2.length = 353
ld : 0.0, str1.length = 14327, str2.length = 14327
ld : 0.0, str1.length = 2101, str2.length = 2101
ld : 0.0, str1.length = 1390, str2.length = 1390
ld : 0.0, str1.length = 1091, str2.length = 1091
